Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1430516394978,1687,Load random friend,200,OK,Thread Group 1-68,text,true,1837,70,70,1686
1430516395027,1658,Load random friend,200,OK,Thread Group 1-66,text,true,1831,70,70,1658
1430516395111,1632,Login Page,200,OK,Thread Group 1-67,text,true,2375,70,70,1632
1430516395109,1659,Login Page,200,OK,Thread Group 1-65,text,true,2375,70,70,1659
1430516395358,1557,Login Page,200,OK,Thread Group 1-63,text,true,2375,70,70,1557
1430516393074,4291,Login POST,200,OK,Thread Group 1-5,text,true,47937,70,70,1627
1430516393390,4150,Login POST,200,OK,Thread Group 1-1,text,true,47993,70,70,1601
1430516395705,1969,Login Page,200,OK,Thread Group 1-64,text,true,2375,70,70,1969
1430516394011,3771,Login POST,200,OK,Thread Group 1-6,text,true,47794,70,70,1306
1430516396215,1570,Load random friend,200,OK,Thread Group 1-69,text,true,1843,70,70,1570
1430516394130,3676,Login POST,200,OK,Thread Group 1-3,text,true,47794,70,70,1236
1430516396351,1503,Load random friend,200,OK,Thread Group 1-70,text,true,1827,70,70,1503
1430516396473,1406,Load random friend,200,OK,Thread Group 1-7,text,true,1830,70,70,1405
1430516396489,1416,Load random friend,200,OK,Thread Group 1-4,text,true,1827,70,70,1416
1430516394260,3731,Login POST,200,OK,Thread Group 1-9,text,true,47810,70,70,1169
1430516394577,3835,Login POST,200,OK,Thread Group 1-8,text,true,47924,70,70,1036
1430516394748,3911,Login POST,200,OK,Thread Group 1-11,text,true,47945,70,70,1719
1430516394726,3952,Login POST,200,OK,Thread Group 1-10,text,true,47875,70,70,1818
1430516394787,3916,Login POST,200,OK,Thread Group 1-12,text,true,47849,70,70,1772
1430516396589,2146,Load random friend,200,OK,Thread Group 1-2,text,true,1825,70,70,2146
1430516394827,4008,Login POST,200,OK,Thread Group 1-17,text,true,47853,70,70,1747
1430516394763,4467,Login POST,200,OK,Thread Group 1-14,text,true,47819,70,70,1820
1430516394809,4622,Login POST,200,OK,Thread Group 1-13,text,true,47944,70,70,1777
1430516394919,4563,Login POST,200,OK,Thread Group 1-20,text,true,47863,70,70,1684
1430516394959,4551,Login POST,200,OK,Thread Group 1-16,text,true,47959,70,70,1649
1430516396675,2912,Login Page,200,OK,Thread Group 1-68,text,true,2375,70,70,2912
1430516394943,4668,Login POST,200,OK,Thread Group 1-19,text,true,47909,70,70,1678
1430516396695,2936,Login Page,200,OK,Thread Group 1-66,text,true,2375,70,70,2936
1430516394994,5109,Login POST,200,OK,Thread Group 1-18,text,true,47963,70,70,1644
1430516395009,5317,Login POST,200,OK,Thread Group 1-22,text,true,47861,70,70,1642
1430516395042,5303,Login POST,200,OK,Thread Group 1-15,text,true,47807,70,70,1626
1430516395077,5384,Login POST,200,OK,Thread Group 1-25,text,true,47722,70,70,1633
1430516395094,5429,Login POST,200,OK,Thread Group 1-23,text,true,47873,70,70,1610
1430516395061,5871,Login POST,200,OK,Thread Group 1-21,text,true,47972,70,70,1652
1430516395142,6016,Login POST,200,OK,Thread Group 1-24,text,true,47748,70,70,1609
1430516395125,6058,Login POST,200,OK,Thread Group 1-27,text,true,47854,70,70,1623
1430516395158,6151,Login POST,200,OK,Thread Group 1-29,text,true,47871,70,70,1616
1430516395158,6179,Login POST,200,OK,Thread Group 1-28,text,true,47982,70,70,1624
1430516395192,6596,Login POST,200,OK,Thread Group 1-30,text,true,47888,70,70,1609
1430516395210,6705,Login POST,200,OK,Thread Group 1-32,text,true,47836,70,70,1605
1430516395177,6815,Login POST,200,OK,Thread Group 1-26,text,true,48047,70,70,1631
1430516395226,6877,Login POST,200,OK,Thread Group 1-31,text,true,47751,70,70,1607
1430516395195,6929,Login POST,200,OK,Thread Group 1-34,text,true,47877,70,70,1626
1430516395242,7340,Login POST,200,OK,Thread Group 1-37,text,true,47838,70,70,1601
1430516395276,7459,Login POST,200,OK,Thread Group 1-35,text,true,47865,70,70,1579
1430516395258,7585,Login POST,200,OK,Thread Group 1-33,text,true,47947,70,70,1602
1430516395292,7635,Login POST,200,OK,Thread Group 1-36,text,true,47771,70,70,1573
1430516395341,7616,Login POST,200,OK,Thread Group 1-38,text,true,47927,70,70,1539
1430516395308,8156,Login POST,200,OK,Thread Group 1-39,text,true,47919,70,70,1581
1430516395324,8243,Login POST,200,OK,Thread Group 1-42,text,true,47880,70,70,1594
1430516397375,6235,Load random friend,200,OK,Thread Group 1-5,text,true,1818,70,70,6234
1430516395408,8306,Login POST,200,OK,Thread Group 1-43,text,true,47904,70,70,1563
